,Puesto,Empresa,Tipo contrato,Nivel de experiencia,Nivel de estudio,Genero Requerido,Edad Requerida,Salario,Cantidad Vacante,Link del Puesto,Lugar provincia,Lugar departamento
26,Secretaria de proyectos,Green group,Tiempo completo,2 años,Técnico,Indiferente,30 a 38 años,2500.0,2,https://pe.trabajosdiarios.com/trabajo/2352222/secretaria-de-proyectos-en-lima,Lima,Lima
27,Administrador(a) para tiendas de gamarra- galería trébol y canepa,Miguelito,Tiempo completo,1 año,Secundaria,Indiferente,No especifica,1200.0,2,https://pe.trabajosdiarios.com/trabajo/2351767/administradora-para-tiendas-de-gamarra-galeria-trebol-y-canepa-en-lima,La victoria,Lima
28,Conserje para edificio / condominio,Metropoli group sac,Tiempo completo,2 años,Secundaria,Masculino,30 a 60 años,1500.0,100,https://pe.trabajosdiarios.com/trabajo/2351692/conserje-para-edificio-condominio-en-lima,Lima,Lima
29,Administrador(a),Inversiones la joya e.i.r.l.,Tiempo completo,2 años,Universitaria,Indiferente,No especifica,1800.0,1,https://pe.trabajosdiarios.com/trabajo/2351637/administradora-en-arequipa,La joya,Arequipa
30,Administrador,Factor inmobiliario,Tiempo completo,2 años,Universitaria,Indiferente,25 a 35 años,,1,https://pe.trabajosdiarios.com/trabajo/2349651/administrador-en-lima,La molina,Lima
31,Administrador de proyectos,Green group,Tiempo completo,2 años,Técnico,Indiferente,30 a 38 años,2500.0,2,https://pe.trabajosdiarios.com/trabajo/2348482/administrador-de-proyectos-en-lima,Lima,Lima
32,Gestor de proyectos,Green group,Tiempo completo,2 años,Técnico,Indiferente,30 a 38 años,2500.0,2,https://pe.trabajosdiarios.com/trabajo/2348474/gestor-de-proyectos-en-lima,Lima,Lima
33,Vendedor de fondos colectivos,Maquisistema,Tiempo completo,1 año,Secundaria,Femenino,No especifica,3000.0,15,https://pe.trabajosdiarios.com/trabajo/2348457/vendedor-de-fondos-colectivos-en-lima,Lima,Lima
34,Supervisor de ventas - intangibles fondos colectivo,Maquisistema,Tiempo completo,2 años,Técnico,Indiferente,25 a 40 años,5000.0,2,https://pe.trabajosdiarios.com/trabajo/2348452/supervisor-de-ventas-intangibles-fondos-colectivo-en-lima,Lima,Lima
35,Administradora de sede / rubro educativo sede comas,Montalvo institute,Tiempo completo,1 año,Técnico,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2344378/administradora-de-sede-rubro-educativo-sede-comas-en-lima,Comas,Lima
36,Administradora de sede / rubro educativo sede san miguel,Montalvo institute,Tiempo completo,1 año,Técnico,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2344373/administradora-de-sede-rubro-educativo-sede-san-miguel-en-lima,San miguel,Lima
37,Administradora de sede/rubro educativo - sede cercado de lima,Montalvo institute,Tiempo completo,1 año,Técnico,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2344369/administradora-de-sederubro-educativo-sede-cercado-de-lima-en-lima,Cercado de lima,Lima
38,Asistente de producción.,Tableros incemar,Tiempo completo,Sin experiencia laboral,Técnico,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2344231/asistente-de-produccion-en-lima,Ate,Lima
39,Almaceneros de tienda- san miguel,Footloose,Tiempo completo,Sin experiencia laboral,Secundaria,Indiferente,18 a 45 años,1025.0,3,https://pe.trabajosdiarios.com/trabajo/2344103/almaceneros-de-tienda-san-miguel-en-lima,Lima,Lima
40,Administrador de grifo sullana piura,Gth alternatives,Tiempo completo,2 años,Universitaria,Indiferente,No especifica,2500.0,1,https://pe.trabajosdiarios.com/trabajo/2343215/administrador-de-grifo-sullana-piura-en-piura,Sullana,Piura
41,Analista programador - desarrollador,Bd capital sociedad administradora de fondos s.a.c,Tiempo completo,3 a 4 años,Universitaria,Indiferente,No especifica,4500.0,1,https://pe.trabajosdiarios.com/trabajo/2342290/analista-programador-desarrollador-en-lima,Lima,Lima
42,Administradora - ong - niños con cáncer - egresada,Asociación por los derechos del niño con cáncer,Tiempo completo,Sin experiencia laboral,Universitaria,Femenino,No especifica,500.0,1,https://pe.trabajosdiarios.com/trabajo/2340769/administradora-ong-ninos-con-cancer-egresada-en-lima,Av. guzman blanco 240,Lima
43,Vendedor - reponedor (san borja),Uno mas uno,Por contrato,1 año,Secundaria,Indiferente,18 a 35 años,1025.0,1,https://pe.trabajosdiarios.com/trabajo/2339512/vendedor-reponedor-san-borja-en-lima,Lima,Lima
44,Gran convocatoria laboral - medio tiempo,Corporativa nutritiva gama,Medio tiempo,Sin experiencia laboral,Educación básica,Indiferente,18 a 40 años,1025.0,15,https://pe.trabajosdiarios.com/trabajo/2339136/gran-convocatoria-laboral-medio-tiempo-en-junin,Chanchamayo ,Junín
45,Administradora - prácticas-ong- niños con cáncer,Asociación por los derechos del niño con cáncer,Tiempo completo,Sin experiencia laboral,Técnico,Femenino,24 a 31 años,500.0,1,https://pe.trabajosdiarios.com/trabajo/2336548/administradora-practicas-ong-ninos-con-cancer-en-lima,Cercado de lima,Av. guzmán blanco 240 - ofic. 403
46,Asistente de ventas digitales,Crecimiento empresarial,Desde casa,1 año,Técnico,Indiferente,No especifica,,5,https://pe.trabajosdiarios.com/trabajo/2335378/asistente-de-ventas-digitales-en-madre-de-dios,Puerto maldonado,Madre de dios
47,Vendedor para tienda - atención al cliente,Uno mas uno,Por contrato,1 año,Secundaria,Indiferente,18 a 30 años,1025.0,1,https://pe.trabajosdiarios.com/trabajo/2333803/vendedor-para-tienda-atencion-al-cliente-en-lima,Lima,Lima
48,Asistente de restaurante,Wantanamera,Tiempo completo,1 año,Técnico,Indiferente,20 a 49 años,1200.0,1,https://pe.trabajosdiarios.com/trabajo/2333559/asistente-de-restaurante-en-lima,Lima,Lima
49,Administrador (bachiller o titulado),Ci bienes raíces,Tiempo completo,Sin experiencia laboral,Universitaria,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2333424/administrador-bachiller-o-titulado-en-junin,Huancayo,Junín
50,Asesores de venta remoto,Crecimiento empresarial,Desde casa,1 año,Secundaria,Indiferente,No especifica,,8,https://pe.trabajosdiarios.com/trabajo/2329937/asesores-de-venta-remoto-en-arequipa,Arequipa,Arequipa
51,Urgent almacenero para tienda en centro comercial jockey plaza,Vanival group sac,Por contrato,Sin experiencia laboral,Secundaria,Masculino,18 a 35 años,1100.0,1,https://pe.trabajosdiarios.com/trabajo/2329856/urgent-almacenero-para-tienda-en-centro-comercial-jockey-plaza-en-lima,Lima,Lima
52,Analista programador android,Etna,Tiempo completo,2 años,Técnico,Indiferente,No especifica,3500.0,1,https://pe.trabajosdiarios.com/trabajo/2328863/analista-programador-android-en-lima,Lima,Lima
53,Vendedor - san borja,Uno mas uno,Tiempo completo,1 año,Secundaria,Indiferente,No especifica,1025.0,1,https://pe.trabajosdiarios.com/trabajo/2328788/vendedor-san-borja-en-lima,San borja,Lima
54,Vendedor - san miguel,Uno mas uno,Tiempo completo,1 año,Secundaria,Indiferente,No especifica,1025.0,2,https://pe.trabajosdiarios.com/trabajo/2328784/vendedor-san-miguel-en-lima,San miguel,Lima
55,Planner y control  de servicios generales,Hsv solutions,Tiempo completo,3 a 4 años,Universitaria,Indiferente,No especifica,4000.0,1,https://pe.trabajosdiarios.com/trabajo/2327405/planner-y-control-de-servicios-generales-en-arequipa,Tiabaya ,Arequipa
56,Administracion de restaurante,Narevi consulting group sac,Por horas,Sin experiencia laboral,Educación básica,Indiferente,No especifica,1500.0,1,https://pe.trabajosdiarios.com/trabajo/2323585/administracion-de-restaurante-en-arequipa,Arequipa,Arequipa
57,Asistente de ventas / repuestos automotriz camiones en ate,Repuestos diesel peru,Tiempo completo,1 año,Universitaria,Indiferente,23 a 32 años,111.0,1,https://pe.trabajosdiarios.com/trabajo/2320591/asistente-de-ventas-repuestos-automotriz-camiones-en-ate-en-lima,Ate,Lima
58,Vendedor - atención al cliente,Uno mas uno,Tiempo completo,1 año,Secundaria,Indiferente,No especifica,1025.0,2,https://pe.trabajosdiarios.com/trabajo/2317436/vendedor-atencion-al-cliente-en-lima,San borja,Lima
59,Administrador de instituto - huaral,Empresa promotora sergio bernales s.a.c.,Tiempo completo,3 a 4 años,Universitaria,Indiferente,No especifica,,1,https://pe.trabajosdiarios.com/trabajo/2314840/administrador-de-instituto-huaral-en-lima,Huaral,Lima
